	verdict	indexes
0	198340.json	"[1379 1263  529 1213  574  707 1311  180 1029 1250  710  877 1314 1267
  443   39  131  933  185  286  573 1238  971  739  223 1306  977  867
 1255  500 1183  729  283  464 1098 1318  385  604  531  139  311  174
  974  796  433  245 1059  566 1279 1308  101  565  779 1148  868  579
 1014  461 1281 1350  941  876 1386  829  247  608  338  295  951  928
    4 1204  517  821  588 1030  904 1058 1024  133  753  410  357 1257
  492  782  688  259 1270  220 1363  808  356  743  404    1 1315  521
   67  373]"
1	198341.json	"[  19 1255  336  782  607  513 1269  933  529  246  461  314  512  390
 1231   23  903  565  549  114  328  956 1281 1237  371  357  204  677
   58  465  786  362  347  484 1213 1148  843 1137  104  709  781  404
  927  423  430  640  883 1239  965  387   39  779 1072  991  530 1073
  688  410  632  306  500  507  574 1279  804    7 1045 1337  971  792
  433  913  959  554 1322  564  256  538  606  496    6  174 1318   41
  167  695 1251  278  914  352  569  100  242  808 1138  886  516  796
  627  225]"
2	198342.json	"[ 339  738  555 1278  252  428  956  904  742  848  845 1255  549 1226
  457  570  777 1072 1363 1017  824 1036   97  554  426  478 1281 1082
  328  314  746  322  268 1351  951 1099  259  392   25  565  876  501
  920 1118  900   59  371  167  500   19  102   20  402 1370  779  883
  307 1349  317  962 1279  665  435  530   45 1098  564 1350  260  713
  946 1346  326  753   48 1014  446  938 1187  971  358 1058  952 1256
  336  974  299  148  202   44 1178  607  409  343  856  591 1110 1318
  188  430]"
3	198343.json	"[ 430   19  876  507 1318 1281  956  529 1350  461  500 1073  517  933
 1255  513  246 1088 1059  785  974  962 1014  433  549   39  757 1306
  753 1365 1237  328  512  620  808 1138  971  565 1238  259  428  951
 1269  347  883 1270  307  574  550  709  530 1058  314  260  695  580
 1062 1279  336  777  903 1137  244  131  693 1234    1 1072 1314  392
   23  564  419  247  455  886  604  927  100  941  991  371  250  713
  796  606 1308  779  573  343  390  426  338  465   58   44  554 1231
 1213    4]"
4	198631.json	"[1159 1220  121 1376  698 1126 1200 1026  993 1169  325 1046  437  454
 1186 1393  874 1161 1367 1102  637  400 1065  502  126   96 1056  865
   37  727  515  584  236  691 1164  888  704  964  784  201 1151  577
  634  361 1338 1136  545  112  319  214  408 1373  676  539  653  494
  489  557 1086  730 1173  349  541  381  542  389  795 1000 1053 1285
 1352 1162   55 1051  859  165 1146 1335  556  420  806 1214 1196  476
 1378  287  958  652 1207  879  708  471 1011  809   15  473  807  224
  836 1167]"
5	198632.json	"[ 395  556  361 1159  165  381  653  865  201  698  450  784 1169 1056
  719 1194 1220  454  287  691  494 1053  471   12  126  958  577  603
  400 1200  502  121 1046 1186  874 1158 1065  545  541   14  810  605
  477   55  408 1146  795 1164 1196 1153  723   15 1376  964 1161 1102
  806 1026 1367 1173  892  788 1167  325  584 1051  203  515  676  809
  394   93 1011 1136  389  437  767  882  319  497  837  652  634 1162
  112 1335  879  214 1126  896 1261 1259  841 1122 1115  557  680 1356
 1214  147]"
6	198633.json	"[1200 1161 1220   96 1393 1159  319  698 1376 1173  420 1114  784  502
 1064 1246  807 1367  477  214 1126 1026  224  389  515  448 1338 1136
 1169 1356  539  752  121 1153   55 1102  545  201 1065  454  874  236
  879  325  400 1056   36  993  836  603  112 1097  141 1180  266  964
   89  708  862  958 1378  865  791 1086  437  126  541   93  795 1132
 1011 1046  653  806 1373 1261 1143  896  489  723  634  584  727  525
  494  704  652  470 1078 1335 1366  497 1167  577  203 1273 1232  888
  561  637]"
7	198634.json	"[ 651  710  443 1267  829  739  180  295  835 1263 1029  796  286  220
  588  385  464 1250  867  480 1311 1307 1024 1340  579  185  177  574
  169  356   71   26  283  312 1213  278 1001  972   39  930 1314  223
  769  129 1379  500  529  933  139  707 1183  743  130  877 1315  210
  573  977  924  357 1386  465  414   82  311 1104  174 1257  439  101
  971  373  433 1083  362  172   84 1204  404  753 1059  245  483 1103
  868 1230 1306  980  729 1238  445  531  846  347  133  941    1  886
  211 1088]"
8	198635.json	"[ 398  665  666  755   63  705  105  406  267  899  393  558  742 1215
  943  509  751  870  457  609  614  979 1277   48  302  102  407 1187
  428  797 1193   97  135  623 1081  615 1082  260  499  273  518  735
 1243 1388  624   45 1137  589  629 1184  833  845  599  530  188 1015
  328  202 1392   62  994  549  591 1371 1004  466   18  458  990 1014
 1072  234  871  631 1223  702  318 1095  249 1381  154  241  364  983
  715  673  956 1118  392  897  324 1221 1147   44  693 1178  510  952
 1348  343]"
9	198636.json	"[ 318  750 1381 1277  466 1368 1015  686  875   45 1225   43 1081 1185
  689 1236 1036  599  152   48 1004  422 1174  673 1328  797 1072  105
  405  988  674  241  765  996   22  983   62  402  234  665  870 1332
  326  120  457  518  740  544   85  398 1050  230   44 1178 1387  946
  848  978  943 1191 1268   25 1392 1223  359 1187 1177  409  601 1331
 1110  524  526  702 1370  558  850  742   92 1357  397 1017 1301 1388
  458  644  571 1135   86  801  614 1265 1385 1192  424  294 1118  789
 1090 1363]"
