	0	1
0	              	{'SPACE': 0}
1	united	{'VERB': 0.6}
2	states	{'NOUN': 0.7}
3	court	{'NOUN': 0.7}
4	of	{'ADP': 0.4}
5	appeals	{'NOUN': 0.7}
6	                       	{'SPACE': 0}
7	for	{'ADP': 0.4}
8	the	{'DET': 0.4}
9	first	{'PROPN': 0.9}
10	circuit	{'NOUN': 0.7}
11	 	{'SPACE': 0}
12	no	{'DET': 0.4}
13	.	{'PUNCT': 0}
14	09	{'NUM': 0.4}
15	-	{'SYM': 0.4}
16	1504	{'NUM': 0.4}
17	america	{'PROPN': 0.9}
18	,	{'PUNCT': 0}
19	                               	{'SPACE': 0}
20	appellee	{'PROPN': 0.9}
21	                                  	{'SPACE': 0}
22	v.	{'ADP': 0.4}
23	                          	{'SPACE': 0}
24	robert	{'PROPN': 0.9}
25	a.	{'NOUN': 0.7}
26	urciuoli	{'PROPN': 0.9}
27	                         	{'SPACE': 0}
28	defendant	{'NOUN': 0.7}
29	appellant	{'NOUN': 0.7}
30	                                 	{'SPACE': 0}
31	errata	{'ADJ': 0.8}
32	       	{'SPACE': 0}
33	opinion	{'NOUN': 0.7}
34	this	{'DET': 0.4}
35	issued	{'VERB': 0.6}
36	on	{'ADP': 0.4}
37	july	{'PROPN': 0.9}
38	20	{'NUM': 0.4}
39	2010	{'NUM': 0.4}
40	should	{'AUX': 0.4}
41	be	{'AUX': 0.4}
42	amended	{'VERB': 0.6}
43	as	{'ADP': 0.4}
44	follows	{'VERB': 0.6}
45	      	{'SPACE': 0}
46	page	{'NOUN': 0.7}
47	5	{'NUM': 0.4}
48	line	{'NOUN': 0.7}
49	3	{'NUM': 0.4}
50	insert	{'VERB': 0.6}
51	a	{'DET': 0.4}
52	period	{'NOUN': 0.7}
53	after	{'ADP': 0.4}
54	""""	{'PUNCT': 0}
55	course	{'NOUN': 0.7}
56		{'SPACE': 0}
57	          	{'SPACE': 0}
58	                      	{'SPACE': 0}
59	1101	{'NUM': 0.4}
60	                     	{'SPACE': 0}
61	                             	{'SPACE': 0}
62	luis	{'PROPN': 0.9}
