	0	indexes	verdict
0	198340.json		
1	"[1213 1180  814 1132  853  918  696  343 1101  710  182 1144  930  959
  332  992  649 1035  562 1161 1338  475  401  146 1315  291  607  399
  242 1078  443  708 1120   74  102  925 1026  728  744 1022  248 1173
 1366 1030  269  948  285  484  111 1058 1126  768 1322  679  862  254
  836  358  362  790  126  293  454 1154  224  980 1136 1065  791 1143
 1274 1149 1000 1395  691 1001  723   44  350 1284  648  433  489  714
  586  858 1367  488    1 1351 1159  167 1342  616  666 1128 1097  977
 1356  463]"		
0	198341.json		
1	"[ 680  815  991  641  779 1277  367   79  510  659 1155  843  940  629
 1262  886 1019  550 1003  429 1364  741  770 1093  662 1317  733  543
 1033  243  362 1197  436  702  241   26  797  622   48  430   38  992
  218 1179  705  286  979   73 1059  500 1119  996   86   18  983  639
  871    6  514 1082  411  447  154   68 1350 1158  516 1096  530  173
 1221  478  537 1170 1041  967  953  256 1007 1211 1388  736  433 1181
 1226  264  295  728  591  495  235  276 1330 1375   92  258  548 1337
  616  952]"		
0	198342.json		
1	"[ 546  339  190  344  170  166  340 1233 1202  803 1034  842  114  949
  786  920 1278 1133 1229  976  162  764  722  823 1115  262  533  922
  738  798  703  330  225  252 1077  132  734  240 1055  515  570  942
 1219  945  993  477  317 1207 1168  984   23  958    5 1303  111  361
  822  777  783  768  229  839  603  578  214  389  584  545  987  567
  972  310  406 1334  222 1266  986  582  744 1198  698  985  488  538
  220  633  360  239  568  889  549   89  826  830  941 1285 1127  706
 1297  290]"		
0	198343.json		
1	"[1019 1155  680  733  843  550  243  419  662  815  235 1059  705  886
  991  770 1179   38  695  510  629  779  530 1350   18  478  940  367
  702  241  429  743  897  362  641  797 1262 1033  507  979  154 1197
  256 1093 1337 1317  796  436  522   26   92  741 1082 1003    6  447
  992  659  276  411 1181 1277  524  155  996  543  833   73   79  157
  757 1330  639  736 1364  724 1007  336 1221  250 1109 1170 1234  218
   86  500 1388  433  430  622 1264 1226 1119  591 1141  178   14  846
  983   44]"		
0	198631.json		
1	"[1132 1161  696 1180  853 1144 1173  248 1026 1126 1338  959  182  918
  992  691  291 1035  343  862 1159  649  814  401 1000  463  146  728
 1366 1065  454  610   74  562  791  224  836 1136  698 1376 1101  859
  879 1232  203  925  475  269 1367  126 1393 1078  489  285  806 1200
  708 1220  502 1022 1046  723  714  930  121  958  111  437  293  345
 1356  795  545  236  874  242   37  254  112 1284  625  637 1246  858
  332  358  767 1149  635  993 1153  158  362  214 1120 1339  603  744
  361 1097]"		
0	198632.json		
1	"[ 992  622  728  696  680 1262 1093  641  429   79  362  343  806  815
  853 1003  659  779  236  448  158  510  616 1119  610  843  991  367
 1158 1056  629 1170 1277 1132  646   74  242  953 1317  243  859  886
  548 1364 1155  704  694  463  182  543  417  885  562  679 1046  666
   15  254  401  602  147  436  714 1113 1344 1156  770  702  959  788
 1377  964  433 1096    6  403  315 1065 1167  550  663  723  940 1339
  967  494 1058  408 1033 1196  918  733  438  931  266  489  662  505
 1165  635]"		
0	198633.json		
1	"[1180 1161 1132 1144  696 1173  853 1035  649  182 1338  959 1126  291
  248  862  918 1366  814 1026  836  691  269  224 1136 1101  401  454
  992  146 1367  343  791 1200  562 1356  698 1159  475  293 1000 1022
  925 1376 1078 1220   74  126 1232 1065  463  121  285  502  203  111
  728  879  708 1097 1393 1102 1246  358  610  437  930  545  858  993
   89  874  723 1153  112  332 1143  214  859  744  768 1149  489 1120
  319 1057  958  795 1335  752  242  477 1284  254  806 1213  561  714
 1046 1322]"		
0	198634.json		
1	"[ 770  256   38  680  733 1155  979  436  241  797  843  510  815  478
  629  796  641 1082  550  779 1019  705 1033  940  886  367 1181 1262
  662 1264   92  702  897   18  155  996 1179  154 1059 1093  530  411
   26  736  724 1337 1109  524  362  695  522  757  429   73 1350  178
  235 1003 1007 1277  741 1221  622  410 1330 1170 1197  591 1226  543
   48  286   14   79 1317  659  991  276 1141 1119  109  833 1364 1375
  243  743  760  398  428  785    6  258  218  850   86  507  666  818
  953 1319]"		
0	198635.json		
1	"[ 116  797 1155  770   38  196   14  591 1337  256 1264 1375  733  897
  241  680  510  705 1350  524  155  398  886   92  629 1019  953 1250
  530  779  478  436  789   18 1262 1277 1181  662 1179 1197  979   15
  154  702  639 1093 1033  724  757 1139  431 1317  796  815  362  996
  411  843  943 1109  785  513   90 1330  940  514  199  367  833  507
  870  736 1003  497   26 1221 1007  641   86 1082  276 1056  695  818
  983 1226  338 1170 1141   73  774  640  522 1253  622  952   44  543
  720  760]"		
0	198636.json		
1	"[ 510  779 1056  952 1277  789  116  680 1155  514  770  659  983  975
 1197 1139   15  641  953  815   79  797  629   86 1317  367  497 1375
  964  639 1003  662  991  943   14 1262  150  940  702 1093  338  543
  882  451 1364 1158  608 1331  733  946  622 1033  705  843  741  886
 1019 1007  196  436 1067  591 1371   18   68 1119   40 1264  871 1250
  218  550  537  429   48 1377  199  742  518  362 1096  243  208  996
  241  818  885 1060  447  264  173  728 1054  232  308  299 1100   73
   26  810]"		
0	198637.json		
