	verdict	intersection
0	198340.json	[39, 71, 101, 130, 131, 133, 139, 174, 180, 185, 220, 223, 245, 247, 278, 283, 286, 295, 311, 338, 356, 385, 410, 433, 443, 445, 461, 464, 500, 517, 529, 531, 565, 566, 573, 574, 579, 588, 604, 608, 651, 688, 707, 710, 729, 739, 743, 753, 769, 782, 796, 821, 829, 835, 860, 867, 868, 876, 877, 904, 928, 930, 933, 941, 971, 972, 974, 977, 980, 986, 1001, 1014, 1024, 1029, 1039, 1058, 1059, 1062, 1098, 1106, 1138, 1148, 1183, 1204, 1213, 1238, 1250, 1255, 1257, 1263, 1267, 1279, 1281, 1306, 1308, 1311, 1314, 1315, 1318, 1350, 1379, 1386]
1	198341.json	[19, 23, 39, 41, 58, 69, 71, 104, 114, 129, 174, 204, 223, 233, 246, 278, 314, 328, 336, 347, 357, 362, 387, 390, 404, 410, 433, 439, 461, 465, 484, 500, 512, 513, 529, 530, 538, 549, 554, 564, 565, 569, 574, 607, 640, 688, 709, 739, 753, 781, 782, 796, 804, 843, 876, 886, 903, 913, 918, 927, 933, 956, 965, 971, 972, 1001, 1024, 1073, 1106, 1138, 1148, 1213, 1231, 1237, 1239, 1251, 1255, 1269, 1279, 1281, 1306, 1315, 1318, 1322]
2	198342.json	[2, 5, 20, 25, 45, 87, 102, 137, 167, 188, 202, 252, 259, 268, 313, 314, 317, 322, 326, 328, 330, 339, 358, 371, 392, 426, 428, 435, 457, 478, 500, 501, 530, 549, 554, 555, 564, 570, 591, 607, 738, 742, 753, 777, 822, 824, 839, 845, 848, 856, 876, 900, 904, 920, 951, 952, 956, 1014, 1017, 1025, 1036, 1058, 1072, 1082, 1098, 1099, 1110, 1118, 1138, 1204, 1213, 1226, 1255, 1278, 1279, 1281, 1304, 1332, 1346, 1349, 1351, 1363, 1370]
3	198343.json	[1, 19, 39, 44, 67, 102, 129, 131, 174, 202, 223, 233, 244, 246, 247, 259, 260, 314, 328, 336, 338, 347, 385, 390, 391, 410, 428, 430, 433, 439, 461, 465, 500, 507, 513, 517, 529, 530, 549, 554, 564, 565, 573, 574, 579, 580, 604, 620, 693, 695, 709, 713, 743, 753, 757, 777, 785, 796, 856, 867, 876, 886, 900, 903, 904, 933, 941, 951, 956, 962, 970, 971, 1014, 1058, 1059, 1062, 1073, 1088, 1138, 1204, 1213, 1234, 1237, 1238, 1251, 1255, 1269, 1270, 1281, 1306, 1308, 1314, 1315, 1318, 1350, 1365]
4	198631.json	[12, 37, 55, 96, 112, 121, 126, 165, 201, 203, 214, 224, 236, 287, 290, 319, 325, 345, 349, 361, 381, 389, 400, 408, 434, 437, 454, 473, 477, 489, 494, 502, 515, 539, 541, 542, 545, 557, 561, 577, 584, 603, 610, 625, 634, 637, 676, 691, 698, 719, 727, 730, 784, 795, 807, 809, 836, 859, 865, 874, 892, 958, 964, 993, 1000, 1026, 1046, 1051, 1053, 1056, 1064, 1065, 1086, 1102, 1114, 1126, 1136, 1146, 1151, 1158, 1159, 1161, 1162, 1164, 1169, 1173, 1186, 1194, 1200, 1201, 1207, 1214, 1220, 1246, 1258, 1285, 1335, 1338, 1352, 1367, 1373, 1376, 1378, 1393]
5	198632.json	[12, 15, 37, 89, 93, 112, 121, 126, 165, 201, 203, 214, 287, 325, 361, 381, 384, 389, 394, 395, 400, 408, 437, 450, 454, 471, 477, 494, 502, 506, 515, 525, 541, 545, 556, 557, 577, 584, 603, 605, 610, 634, 653, 676, 691, 698, 719, 730, 767, 784, 788, 795, 807, 809, 810, 836, 837, 841, 865, 874, 882, 892, 954, 958, 993, 999, 1026, 1046, 1051, 1053, 1056, 1064, 1065, 1126, 1146, 1153, 1158, 1159, 1161, 1162, 1164, 1169, 1173, 1186, 1194, 1200, 1201, 1207, 1214, 1220, 1227, 1246, 1259, 1335, 1359, 1367, 1376]
6	198633.json	[36, 55, 89, 93, 96, 111, 113, 141, 201, 203, 214, 224, 266, 319, 325, 341, 389, 420, 448, 454, 477, 489, 494, 502, 515, 525, 539, 541, 545, 578, 603, 698, 703, 708, 752, 784, 791, 795, 807, 836, 837, 862, 865, 874, 879, 942, 958, 1011, 1026, 1056, 1064, 1065, 1078, 1086, 1097, 1102, 1114, 1126, 1132, 1136, 1143, 1153, 1159, 1161, 1169, 1173, 1180, 1200, 1214, 1220, 1232, 1246, 1259, 1261, 1335, 1338, 1356, 1366, 1367, 1373, 1376, 1377, 1378, 1393]
7	198634.json	[26, 39, 70, 71, 82, 84, 101, 129, 130, 133, 139, 169, 172, 174, 177, 180, 185, 210, 211, 220, 223, 245, 278, 283, 286, 295, 298, 311, 312, 316, 347, 356, 357, 362, 373, 385, 404, 414, 433, 439, 443, 445, 464, 465, 480, 483, 500, 529, 531, 566, 573, 574, 579, 588, 651, 707, 710, 729, 739, 743, 753, 769, 796, 829, 835, 860, 867, 868, 877, 886, 911, 924, 928, 930, 933, 941, 971, 972, 977, 986, 1001, 1024, 1029, 1083, 1104, 1106, 1183, 1204, 1213, 1230, 1238, 1250, 1257, 1263, 1267, 1306, 1307, 1311, 1314, 1315, 1340, 1379, 1386, 1395]
8	198635.json	[18, 45, 48, 62, 63, 66, 102, 105, 135, 160, 188, 202, 241, 249, 251, 260, 267, 273, 302, 318, 364, 393, 398, 406, 407, 428, 457, 458, 481, 499, 509, 518, 530, 549, 558, 589, 591, 599, 609, 614, 615, 623, 624, 629, 631, 642, 665, 666, 673, 686, 705, 715, 735, 742, 751, 755, 776, 797, 824, 833, 845, 856, 870, 899, 943, 952, 956, 979, 988, 990, 994, 1004, 1014, 1015, 1058, 1081, 1082, 1095, 1125, 1184, 1187, 1193, 1215, 1221, 1223, 1277, 1301, 1332, 1371, 1392]
9	198636.json	[25, 43, 44, 45, 48, 62, 85, 86, 105, 120, 145, 152, 153, 188, 234, 241, 267, 268, 294, 302, 318, 326, 359, 397, 398, 402, 405, 422, 424, 457, 458, 466, 518, 544, 558, 571, 591, 599, 644, 665, 666, 673, 686, 689, 740, 742, 750, 762, 765, 797, 801, 847, 870, 875, 934, 946, 978, 979, 983, 988, 996, 1004, 1015, 1036, 1050, 1076, 1081, 1135, 1174, 1185, 1187, 1223, 1225, 1236, 1265, 1268, 1277, 1283, 1301, 1332, 1357, 1370, 1381, 1384, 1385, 1387, 1392]
