	verdict	indexes
0	198340.json	"[ 220  710 1263  986  588  286  928 1311  311  877  707 1386  651 1183
  385  283  529  443 1029  480 1098  278   69  531  185 1315  911  739
  872  574  223 1379 1001  835 1267 1039 1213  131  433 1250  868  688
 1314  566  796  174 1307 1023  295  247  289  118  867  356  860  729
  909 1340  930   71  180 1255 1028  933   39 1138  904 1350  782 1341
  130  464  980  357 1238 1257   84 1148  579  972  177   81 1306  876
  445  238  971   70  604  687 1024 1062  769  139   67  172  608  829
 1279  133]"
1	198341.json	"[ 782  220   69  356  278   71 1040  261  687  972  336  362 1255  863
  390  529 1269  531  314 1198  223 1180  174  246 1148 1001  574   19
  985  956  911  300  357  204  564  909 1336  790  903 1138   39  781
  851  465  233  433  986 1106  538  385 1127  439  283  796  688  391
 1322  347  966  289 1315  918  933 1272  607 1021   41 1189  461  913
  880  310 1213  410  456  922 1237  835  348  513  568   23  980 1251
  149 1323  298  924  387 1306 1257  739 1296  569 1281  753   70  129
 1024  328]"
2	198342.json	"[ 339   87    5  555  904  435 1304  330  570  823  190  920  848 1278
 1110  839 1226  956  501  798  593  845 1168  872  153  289 1036  288
    2  738  478 1255   25 1021  222  822  313 1370  206 1232 1118 1098
  789 1351  549  939  269  457  951 1138  184 1346  298  976  328  909
 1280  225  607  102 1080  978  138  216  314  554  987  742  137 1071
 1108   20  428 1025 1322 1281  348  358  355  421  336  876  468 1034
  703 1343  310  632  863  191  252 1058 1060  390  118  945  854  538
  150  782]"
3	198343.json	"[ 876 1315 1138  529 1098  911  433   69  531  517  956  574  909  385
 1198 1251  174  687  782  223  283  289 1062  872 1029 1269 1058  904
  709  579 1255  564  903  985  314  118  336  951  688  980  233   87
   67  410  707  877   39  247  880  391 1281  310  835  867  461  261
  328 1238  352  390 1213  220   41  131  863   84 1263  753 1059  129
  729  604 1306  347  465  330 1350 1021  439  102 1127  456 1318 1189
 1030  500  718  485  538 1108  356 1039 1257 1311  743  900   71  856
  660 1110]"
4	198631.json	"[ 878 1258  917 1053 1218  248 1146  676 1201  284 1164  415   12 1166
 1186  325 1158  437 1219  561 1051  625  473 1207   37  345  290 1046
 1194 1000 1026  719  603  349  730  121 1360  993 1154 1169  542 1126
  400  454 1086  634 1159  999  165  381  841  809 1220  287 1214  541
 1367 1285  859 1373  584  874 1054  470 1352  434  577  954   96  539
 1064  836  892  557  637  477 1151 1161  203  365  793 1162  417  525
  489  126  206  717 1065  727 1246 1335  610 1136  384 1259  236  502
  266  361]"
5	198632.json	"[1053  917  878  603  248   12  561 1146 1258  556  719 1164  584 1158
 1207  676  287 1218 1186  121  454 1194  395  625  400  437  477 1051
  381  284 1169 1201  325 1166  634 1046  415  290  730 1227  365  165
 1220   37 1026  408  993  345 1359  691  958  809  203 1161  841  793
  525  112  361 1064 1159  471  874 1219 1126 1162  349 1246  557 1065
  126  610  999  353  807  542 1367  653  577 1335  698   89  541  836
  473  384  502 1054  859  823 1000  161 1285 1259 1056 1151  892  954
  767  266]"
6	198633.json	"[ 206 1273 1158  909  541  389 1345  494 1378 1021 1232 1110 1258  942
 1377  287 1194  784 1078 1373  809 1195  161  652  932  396  985 1201
  593  489 1286  703  329 1359  939 1114 1108  922  869  378 1097  880
 1180   93  730  866 1136  288  598 1064 1210  165  810  113  616 1079
 1026  434  331 1199  577  935 1071  719 1261  539  314 1172 1165  448
  542  893 1266  557  534  834   12  341 1366 1220  351 1107  370  468
  752 1322  547  841  959 1091   55  676  486 1336  477  837  217  497
  960  913]"
7	198634.json	"[ 710  651  220  588  986 1263  286  480  739  283  835 1307   70  443
   71 1267  278  877  180  385  796 1029  356 1001   69  707 1340 1028
  911  177  295  130  928  579  829  311  574  185  211   26  362  531
 1386  174 1183   84  529  464  357 1314  769  223 1250  972  782  867
 1023  930 1213   39 1315 1255 1257  312  169  933 1311 1024  149  860
 1395  129  139  687  753 1039  433  204  729  210 1020  172 1127 1104
 1379  247  316  566  439  298  465  924   67  481 1148  971 1098  868
 1106 1238]"
8	198635.json	"[ 249  302  666  751  629  623 1095  393  364 1135  398 1125  499  776
   66 1215 1221  425  481  208  267  979  192  407  665  406  105 1371
 1193  631   88  797  127 1249  337  527 1316  944  599   31  686 1387
  712  119 1313  705  273  715  432  889  934   49  899 1015  102  153
  642  152 1112  624  382  755  275   34  742  690  189  509  988  994
  313  281  591  117  318  990  943  589  103  202 1348  329  215  639
 1301 1049   62  558  457  975   63 1388  530 1228  856  518 1058  251
  801 1288]"
9	198636.json	"[ 422 1387  152  318   62  801 1368  875  750  686 1135 1381 1015 1125
  466  599 1313 1249  397  435  405  988  978 1236  153 1185 1301   66
 1117   43  797  934 1268 1277 1293  689  957   25  712  944  844   88
 1283  690  963  393  213 1332  359  192  119  825 1385 1357  432  120
  458 1225 1036  302  382 1265 1370  740  950  156 1174  398   85 1240
 1081  979  518 1076  995   65   73   86  595  457  571 1050  762  587
 1190  173  742  329   54 1038 1354  666  799 1090 1110  996 1333 1049
  749 1089]"
10	198637.json	"[ 939  942  945  206 1110  329 1378  920  869  306 1210  288 1036 1195
  616 1232  848  378  486 1228  913  987 1078 1345  435  421  216 1377
 1071  167 1035  880  834 1097 1165  314  803  331  754  341  722 1266
  321  342 1021  810  607  762  664   93  633  468  175  570 1244 1359
  371  692 1199  348  798  497  475 1060  907  837  717 1358  113  866
  265 1225 1194 1108  396  598  593  370  960  783  909 1048  840  472
 1016   43  952  578  645 1273  547   92  153  190  953 1077  423  954
  154 1336]"
11	198638.json	"[ 917  878  248 1218 1258 1053  284 1146  561  415 1201 1164 1166  676
   12 1207  437  625   37 1186  290  603 1219 1051  349 1158  634  473
 1154  345 1194  400  719  325  121 1046  730  584 1000  542 1026  454
 1126 1374  477  165  381  809  470 1169 1360 1285 1054  993  610  859
  365 1162  287  126  577  557  476 1064  999 1367  954  541  841  874
  266  652 1220  793  434  463 1086  236 1352 1151  438  408  727  502
 1161  112 1373 1246  353  836  857 1359  637  556 1335 1214  958  515
 1273 1159]"
12	198639.json	"[  69  782  220  278  687  863  261  289  985  911  529 1255  880  357
 1336  972  356   71  385  903 1021  390  538  149 1198  909  314  283
 1269  174  439  872 1055  956 1029  781  569  851  922 1040  913  300
  465  336 1189 1106 1138  531 1148 1001  298  924 1098 1315  716  433
  574  118  919  223   41  607   84  790  966 1127  246   19 1272  387
  632  918  391  517  177  348  907 1180  129 1213  965  904 1024   39
  564 1323  928  513  456  593  984  210  310  793  239  835  649 1281
  228 1251]"
13	198640.json	"[ 917  878 1258   12  248 1218 1201  719  676 1146  284 1166 1053 1164
  415  561  345  325 1051  290 1026  473 1360 1194 1207 1158  381  400
  625 1186  634  437  542 1046  557 1000  470 1054  349 1126  841  730
 1154  603 1169  454  993  434  365  809   37 1219  999  121  165  767
  584 1056 1352  874  954  525  489  206  161  287  859  953  577  964
  266  236  126 1374  610 1151  541  652 1195 1394  882  998  203  892
  857   96  477  826 1246  893  647  784  494 1214  417 1159  727  438
 1285 1259]"
14	198641.json	"[ 206 1228  869 1110  468  945  329 1195  175  939 1378  803  288 1345
  593  472 1343  722  396  920  331 1036 1266  960  216  147  987 1078
 1232 1377  754  907  834  837  909  435  810 1210 1077  942 1108 1359
 1273  190 1194  954 1060  348  533  840  378  822  497  167 1229  866
  817 1107 1182  783 1048  547  717  302  342  607  989 1165  450  240
  762 1021  158  598  934  423  616  142  165 1080   11  434  748 1119
  265 1199   47  153  384 1298  784  341  841  703  440  578  421 1172
  798  113]"
15	198642.json	"[ 480 1001  911   84 1340  707  710 1386  220  223  286  385  311  356
  687  588 1315 1311  796  928   69 1267   71  574  177  835  464 1029
  980  877  986  278  131  933  860  283  688  876  972  433 1183  362
  846 1307  531 1023  651   70  443  579  185  246  295 1040 1257  867
 1062  529  739 1024 1250  604 1106 1098  566  782 1138  312  930 1306
 1314  357  129   91 1263  829   67 1213  174  172 1238 1028 1127  289
    2  404  247  210   39  743   72  445  769  513 1361  149  439  500
  573 1279]"
16	198643.json	"[ 407  192 1125 1313  587  978 1117 1282 1135 1355  156  103 1089  397
  466  690  936   66  153  801  686 1050  934  944 1002  282  749  213
  957  740 1015 1208   95  422  724  372  591  559  994   73  393  599
  469  305 1293  943  995  960  950 1212  413 1049  324   49  302 1375
   83  825  776 1069  712 1370 1038 1357  975 1058  850 1197 1332  152
  979 1265  639 1381  120  799 1174  797 1036  664 1185 1090 1240 1387
  540 1215 1249   62  359  337 1368  432  334  176  997 1301  631  425
 1348  558]"
17	198644.json	"[ 823  798   87  300  269  239 1078 1034  138  348  353  355  184 1219
  851 1108  330  793  206  228 1144  922 1210  216  839  854  570 1035
  722  582 1064 1133 1359 1207 1278  934  291  360  153  880  987  111
 1168  387   69 1115  190  593  162  261  161  976  939  288 1171 1266
  487  807  762  907 1110  863  872 1280 1300 1107  468  809  881  999
  953 1273  240  472  866  475  837    5  486 1114 1323  949 1203  497
 1021  841 1335 1232  716  633  484 1097 1194    8  187  803  752  339
 1322 1158]"
18	198645.json	"[ 468  895 1007 1177  762   43 1093 1036  818  717  292  299  912   45
 1280 1278  978 1096  570  946   66   92  154 1388   83  733  812  850
  600  866  367   73   76  754  282  599 1109  190  232  162  674 1370
  510   48 1135 1047 1017  153 1244  458  961  871  663  797  712 1262
  666 1333  937  216 1294  294  150  504  934  435  175 1225 1060 1113
  466 1110 1375 1192   20  705  421  994 1265  117   85  418  952 1118
 1377 1253  789  398 1182 1320  641  670  899  264  155 1364  147 1178
  411  722]"
19	198646.json	"[1316  940  947  425 1221  364  272  481  222  130  800  103  251  213
 1317  973  304 1015  923  597  915 1307  205 1125  686  978  527  153
  495  996  599 1193  152  382  192 1313  943  690  623  706  631  137
  303 1066  672   34  715 1135  856 1387  249  990   49  267  449 1301
  393  316  751   65  937  934 1332  294  374 1098 1348 1371  407   66
  373  666  469 1117  957  595  189  302 1028   62  466   88  995 1226
  160  988  234  877 1130   87  414 1049  776  383  629  639  359  457
   20 1293]"
20	198647.json	"[ 848 1179  313  789  435  956 1036 1304    6  299 1048  938 1110  920
 1244  831  216  601  904  901 1050 1072  709  960  314  907 1172  607
 1278  328 1269  457  452  175  939 1280  909  288  318  306 1370  713
 1107  396 1049  196 1255 1354  549 1080  648  952  317  371  748   86
  554  199  336  534  167  683  830 1333  428 1281 1113 1081 1017  478
  118  390  148   19 1223  786  329 1042  681 1084 1168   92  959  978
  456 1118  869 1090 1225  423  866  854  632  872  946  230 1148 1135
  326 1043]"
21	198648.json	"[ 880  913 1021  985  206  942  744  306 1078 1273 1258  353 1296 1345
 1035  378  300 1378 1063  909  607  348  922  939 1110  310 1071  342
  314  390 1158 1097  999  539  341  987  541 1322  113 1266 1108  834
 1000  598   69  329  456 1201 1336  538  371  703  830 1373 1154  863
  370  692  288  581  358  920 1136 1195 1064  781 1359   87  966  959
  809  593 1220  851 1180 1086  280 1232 1077  752 1210  547  730  578
  954  956  951  435 1163 1009  391  291  683  632  327  523  652 1060
  423  889]"
22	198649.json	"[ 878  917  248 1218 1258 1146  284 1164 1053  415  676  437  290 1186
  561  603  325 1201   12 1051  625 1046  121  381 1166  719  345 1360
 1194  634 1026 1207  400  349 1374 1158   37  584  473  470  993  165
 1154 1169  542 1219  454  874  365  126  556  841 1126 1246 1000  287
  203 1159 1151  809  730  691  577  477  471  859  557  826  266  408
  279  112  434  525 1065 1086  954  999 1214  610  892  361  767  652
  635 1162  888 1220  236  476 1352 1161 1054  417  463  653  704 1227
  541 1373]"
23	198650.json	"[1125  407  192 1135  631 1313   66  690  979  406  591  686  329  797
  850  153  997  398  666 1117  705  599  469  990  273   20  188   62
  960  509  103  776  978 1265  665  639 1109  742  305  337  393  458
  715 1058  313  944 1004 1332  946 1225 1215  156  119  302  624   88
  589  518 1002  740 1015  801 1060  818  938  825  127 1387  934  422
  712 1036  988  754  952  377  213 1049   43  664  587 1301  994  957
  936  435  382  558  372 1385  154 1228 1370  799 1050 1282  160   34
  674 1371]"
