	verdict	indexes
0	198340.json	"[1263  220 1311  710  529 1213  588  443 1029  286 1098 1379  574  877
  185 1250  311  385  180  928  739  174  867 1039  223  796  651 1255
  872 1386  531  729   39  433 1315  986  131  295  133  835  247  283
  278  139  904 1183  688 1267  933  980 1106  876 1138 1001  566 1314
  500  130 1306  972  564  930  900   69 1024  971 1238 1062 1148 1257
  868  782 1350  445  579   71  461 1279  604  129  356 1281  753  707
  410  829 1058 1059  911 1395  573  956 1308  210 1204  769  856 1014
  941 1205]"
1	198341.json	"[ 782 1255  390  336   19 1269  956  781  607  461  314  903  174  465
   23  972  529  347  863  278  933  328  538  513  246 1281 1138  439
   69 1213 1322 1106 1251 1231  357  843   39  564  114  410  362  965
 1239  404 1237   71  574  204 1024  569  709  688  985  796  104  886
  753  433  530 1279 1395  371  484 1306  640 1104  242  500   58  298
   41  830  549  853  554  792  876  129  918 1336 1148  632 1305  804
  100  512 1318  565    6 1204  768 1189  391 1021  677 1198 1315  802
 1103  739]"
2	198342.json	"[ 339  555 1278  738  904  570 1226  956  428  501  549  252  848  920
  330  742  554    5  777 1255 1370  845  457 1304  435   20 1036   25
  951  268  876  102 1281  328 1082  900  822  824  317 1025  167 1017
  314  952   87 1118 1099  564  478 1058  225  856  421 1349  709 1098
  371  946 1351  607  150 1138 1177 1363  137  938  529 1213 1332  530
 1330  591 1071 1279  313  359  188 1346  336  839  326  500 1014  426
  222  779  259  202 1110  883  322 1204 1251  624  753   45  338  390
  805  358]"
3	198343.json	"[ 876 1138  956  529  517  433  564 1059  500  574  709  347 1251 1062
  620 1213  461  328 1058 1269  410 1255  102 1098 1014 1281 1365 1318
 1315  743 1306  903  951   39  753  604 1234  233  314 1205  129 1350
  390  549  174  777  554  391  695  336  900  202  904  430  465  530
  133 1106  247  693  970  507  886  867  729   67  338  856  573  579
  713  843 1238  980 1237  223  933   44 1250  941   19    1 1204  439
  385 1073  692  971  371  607  428  358  513 1088  785  215  805  307
  259  100]"
4	198631.json	"[1159 1126 1186  454 1026 1046  437 1164 1220 1169  121  993  325 1146
 1161   37  676   96  637  874 1367 1051  584 1065  561  625 1246  112
  691  349 1207 1393 1086  502  698 1376 1102  515  400  610  836  224
 1064 1162  214  603 1053  542  807 1200 1151  361  477  203  888  859
 1285   12  730 1201  719  126 1136  539 1352 1214  165  345  266  826
 1258  201  525 1000  236  494 1373  408 1173 1114  545  541  653  473
  635 1056  290  319  577 1338 1259  634  476 1335 1158  958  557  865
 1194  727]"
5	198632.json	"[ 395 1158  165 1053  603  287 1194  556  454  400  698 1046 1159   12
  361  653  203  691 1065  865 1146 1164  874 1220  958 1186  121  719
  477  381  676  584 1026  545  809 1207 1161 1359  126 1335  471  325
 1056  408  892 1246  201 1169  494 1200 1259 1126  437  541 1227  605
  384 1051  525 1064  836  730  993 1153  841  111  515  214  885  502
   89 1367  634  577  112  610  807 1376 1393  810   15  954  784  236
 1173  837   37 1162  999  964  476 1286  882 1195  767  637  717  866
  953  506]"
6	198633.json	"[1200 1114 1064   96 1220 1159  389  224  319  807  420 1393 1367 1136
  502 1173 1161 1180 1356 1378 1376  784  698 1338   55  539 1246 1102
  201  879 1026  214  836  494 1126  454 1065 1097 1366  545  958  752
  795  874  865 1232  708 1143  477 1153  448  862  113 1169 1046  341
  653 1167  515 1335 1377 1261  541 1056  475 1132  791 1086  112 1259
  691   89  488  806 1091 1373  942   93 1092 1078  141  578  126  266
  203  165  361   36  788  325  637 1286  525  111  964  704 1214  497
  635  489]"
7	198634.json	"[ 710  651  220  739  443 1263  286  835  588 1267  829  796  295   71
  283  480  180  385 1029  278  579 1307 1001  185 1250  177  867  169
 1024  574   39 1213  769   26  464  529  311  930  877  174 1340  972
  933  129  362  465  356 1311  357   84  439 1314 1183 1315  223 1257
  986  928  753  782 1395 1255   70  971 1379 1386  130  500 1106  886
  133  707 1104 1306  911 1204 1238  270  312  531   69  433  298  139
 1023  347  210  924   82  404  729  573 1279  373  101 1205  149  941
  566  918]"
8	198635.json	"[ 398  666  105  267  302  393  979 1215  665  705  558  509  591  797
  623  273 1193 1371  742  899  629 1221 1135  457  755  518 1187  189
  406   45  614  952  599   63  364   66  102  188  870 1082  249 1125
  458 1184  589   48  326  856  530  662  241  251  615  990  407 1277
  202  609   34 1004 1212  686  549  943  988 1036 1223  510  428  824
  160  631  751 1332  956  871  845  215  260 1392  776  938  997  154
 1155 1058  994 1081  944   97 1305 1301   43  481  601  624 1014 1015
  673  318]"
9	198636.json	"[ 750 1277 1381  318   45  875   43  152  405  466   62  599  591   25
  518  105 1185 1370  988  398  458  686  797 1081 1036 1187  775  740
  457  422 1301 1015   48 1332  979  742  359  241  673 1212  294 1387
  558  938 1223 1135  267  326  983  571  801 1004  435  554 1225  944
  952 1385  145  601   86 1076  544 1265  870  666  509  614  946  847
   66 1357 1208 1131 1236 1349 1017 1177  268  382  665  490  799  765
  700  221 1082 1293 1174  393  615  188 1050 1206  153 1384 1184  501
  273  825]"
