	0	1
0	united states court of	{'ORG': 1.75}
1	first	{'ORDINAL': 1.2}
2	09	{'CARDINAL': 1.2}
3	america	{'GPE': 1.5}
4	robert a. urciuoli	{'PERSON': 1.5}
5	july 20, 2010	{'DATE': 1.5}
6	5	{'CARDINAL': 1.2}
7	3	{'CARDINAL': 1.2}
8	09-1101	{'CARDINAL': 1.2}
9	luis eligio santana-pă‰rez	{'PERSON': 1.5}
10	09-1150	{'CARDINAL': 1.2}
11	aquiles carpio-pouret	{'PERSON': 1.5}
12	the united states	{'GPE': 1.5}
13	puerto rico	{'GPE': 1.5}
14	juan m.	{'PERSON': 1.5}
15	nez	{'NORP': 1.75}
16	u.s.	{'GPE': 1.5}
17	ctor l. ramos-vega	{'PERSON': 1.5}
18	joseph c. laws	{'PERSON': 1.5}
19	jr.	{'GPE': 1.5}
20	luis eligio santana	{'PERSON': 1.5}
21	jesăşs m. rivera-delgado	{'PERSON': 1.5}
22	william c. brown	{'PERSON': 1.5}
23	lanny a. breuer	{'PERSON': 1.5}
24	rosa e. rodră­guez-vă	{'PERSON': 1.5}
25	united states	{'GPE': 1.5}
26	2010	{'DATE': 1.5}
27	luis eligio	{'PERSON': 1.5}
28	18	{'CARDINAL': 1.2}
29	2237(a)(1	{'CARDINAL': 1.2}
30	pre-dawn	{'TIME': 1.2}
31	rico   	{'GPE': 1.5}
32	mona island	{'PERSON': 1.5}
33	1	{'CARDINAL': 1.2}
34	2237(e)(2	{'CARDINAL': 1.2}
35	r.h. dana, jr.	{'PERSON': 1.5}
36	111	{'CARDINAL': 1.2}
37	14th ed	{'DATE': 1.5}
38	1879	{'DATE': 1.5}
39	2	{'CARDINAL': 1.2}
40	thirty-eight miles	{'QUANTITY': 1}
41	the dominican republic	{'GPE': 1.5}
42	michael levecque	{'PERSON': 1.5}
43	around 5:10 a.m.	{'TIME': 1.2}
44	english	{'LANGUAGE': 1}
45	spanish	{'LANGUAGE': 1}
46	one minute later	{'TIME': 1.2}
47	second	{'ORDINAL': 1.2}
48	third	{'ORDINAL': 1.2}
49	twelve minutes	{'TIME': 1.2}
50	five	{'CARDINAL': 1.2}
51	4	{'CARDINAL': 1.2}
52	v. gonzalez	{'PERSON': 1.5}
53	570	{'CARDINAL': 1.2}
54	16	{'DATE': 1.5}
55	28-29	{'CARDINAL': 1.2}
56	1st	{'ORDINAL': 1.2}
57	2009	{'DATE': 1.5}
58	rosado	{'ORG': 1.75}
59	605	{'CARDINAL': 1.2}
60	48	{'CARDINAL': 1.2}
61	52	{'CARDINAL': 1.2}
62	four	{'CARDINAL': 1.2}
63	twelve miles	{'QUANTITY': 1}
64	santana-rosa	{'ORG': 1.75}
65	132	{'CARDINAL': 1.2}
66	860	{'CARDINAL': 1.2}
67	863	{'CARDINAL': 1.2}
68	1998	{'DATE': 1.5}
69	46	{'CARDINAL': 1.2}
70	the united states'	{'GPE': 1.5}
71	v. bravo	{'PERSON': 1.5}
72	489	{'CARDINAL': 1.2}
73	8	{'CARDINAL': 1.2}
