	verdict	indexes
0	198340.json	"[1379  180 1263 1029 1250  574  867 1267 1311 1213  185  710  529  500
  739   39  443  877  707  977 1314  286  573  796  971  829  131 1238
 1306  464  933  385  101  245 1024  139  295  729 1318  283  868  223
 1183  579 1098 1059 1257 1308  433  876  604  521  588 1255 1083  373
  174  356 1279  743  651 1204  531 1014  483  974 1270  753  517   26
  808  338  941  461 1062  445  311  218    1 1386  247  565  566 1088
  133  130 1121   67 1281 1350    4 1315  821 1234  362 1058 1230  962
  404  169]"
1	198341.json	"[  19  933 1255  513  347  461  782  500  336  529  903  362  246  465
   39  956 1231 1024  574 1213 1269  796  404  565   23  530 1237  808
  390  843 1281  971  357  433  328  886  430 1204  114  104 1138   41
  972  785 1318 1279  620  410  753  512  549  606  314  695  439 1306
 1073  204  174  709  876  250  867  757  941 1059  517 1088  244 1234
  607  970   58  739 1014  693 1104  428  419  927 1308  564 1230  516
    1  256  805  640 1137 1058  688 1148 1238 1103  580  278  779  579
 1106  385]"
2	198342.json	"[ 555  339  252  428 1278  956  738 1226  500  876 1255  904  900  845
 1363  202  742 1099  268  824  962  549  753  457 1281  777  530   20
  849  856  260 1230  102 1346  259 1062  805 1187  971  760  373  833
 1082  328 1138  565  570 1279 1017 1098 1204 1014  951 1234  392 1072
  426   44  188  554    1  343 1350   19  970  458  478  338 1332 1379
 1318 1213 1058   25    2  461 1349 1024  977 1118  988  101  564  974
  979   59  430 1392  848  322  326  665  509  785  624    4  131  867
   48  402]"
3	198343.json	"[ 500  876 1088  430  785  517 1318 1059 1062  962   39  753  956 1365
 1306  244  347  757  808  933 1014 1270  461  620  433 1350 1138  574
  529  971  867  521 1281 1234   19 1379  260  530 1238 1073  101  743
  796 1024  974    1  507  246  428  693 1314  513 1255  695  977  573
  886  385 1237  131 1308 1058 1230  328  903  565 1204  970 1279  580
  202  247  250   67  259  549  338  373  941  465  550  107  252  392
   44  102  419  439  805  483  218  900 1392  846  343  604  951  833
 1213  579]"
4	198631.json	"[1367 1376 1086 1159 1220  454  545  502 1214 1200  539 1378 1126   96
 1393  515 1338  874  698 1026  389 1136  717 1373  541  201  489 1335
 1011 1169  146  865 1000   55  993  121  676  784 1046  165  809  578
  836 1180  879 1161 1143   15 1092  837  577  795  708  494  964  906
  488  727  637 1056 1352  236 1167 1356  113  420  214 1065  958  226
  126  892 1158 1201  319  788 1261  862  859 1286 1144 1114  696  954
 1342  694 1163 1285  691 1232  810  224  403 1053  475  325 1164 1145
  767  893]"
5	198632.json	"[ 395 1158  165  892 1194  810  394  147  201  450  696 1122   15 1195
  541  545  958  788 1167  646  809 1259   55 1011 1145 1214  841  837
   12  723 1232 1092  494  717  287  865 1119 1356   14  784  882  502
  361  389  680  438 1086  954  795  767  146  907  840  384  719  309
 1344 1342 1359  879  912 1091 1345 1261  862  454  577  506  657 1335
  605  315  183  866 1286   93  969 1377  158 1159 1140  333 1156  203
   24  836 1022 1100  861 1378 1144  563 1153 1180 1056 1134  199  142
  708  676]"
6	198633.json	"[1356 1200 1114   96  389  539 1378  879 1086 1180 1097  502 1393 1367
 1338  420  545  862 1366 1136 1220  784 1064  319 1376  836   55  791
 1143 1161 1011 1132  515  708  224  752  113  958  146 1261 1232 1035
 1153  214  541   93  696 1078  698 1159 1092 1373  717  488  475  448
  454 1167 1259  201  942 1126 1246  578 1335  586  795 1377  563   89
  489  723  837  141  111 1342  341  158   74 1149  809   15  703  477
  874  291 1026  906   36  594 1214 1144 1203  804  734  768  810  744
  226  788]"
7	198634.json	"[ 651  829  710  180 1267  739  295  443  169  835  796 1029 1307 1024
  867  480   26 1263  286  588 1250  464  385 1340  356 1311  579  185
  312  177  574  972   71 1083  129  220  130   39  172  414   82 1379
  500  743 1257  769  930  283 1315 1314 1213  210 1001  101  707  373
 1230  977  139  223  933  573  483  278  868 1386  521  465 1183  439
 1121   84  846  877  245  924  902 1104  597 1204  362  445  529  244
  433  347  316  971  404  357  174  753  520 1306 1059 1308  886 1088
  218  211]"
8	198635.json	"[ 398  666  665  943  509  609  135   63  705  267  735  105  899  979
  623 1193  102  202 1187  742  558  833  260  428  393  755  624   18
  751  589   48 1215 1277  406  457  870  458  614  530  188  101 1371
 1081  845 1392  273  615  629  693  518  481  988 1082  160   62 1014
  797  994  897   44 1221  856  725  234   45  956  591  631 1332 1130
  832  500  407  343 1241  669  644 1357  715 1184  328  553  392 1015
  441 1185 1062  824 1243   20  373 1083 1379 1058 1316  962 1278  977
 1301  549]"
9	198636.json	"[1277 1381  750 1185  988  875   45 1015 1081   48  466 1236 1332  943
   62  234 1392  686  458   44  644  673 1187  105   18 1174  665  359
  544 1357  152  518  628  398  797 1301  241  326  870  979  832  457
  801  402  741  318   25  338 1387  509 1363 1072  405  666  558  983
 1177  742 1346  188   43  599 1355 1223  267  591 1384  571 1038  725
  160  615  447 1099  724  611  740 1193   85 1004  910 1118  424  614
  946 1082  101  996  849  833 1178 1006  675 1036 1017  268  899 1242
   17  462]"
