	verdict	indexes
0	198340.json	"[ 220  710 1263  986 1311  286  588  928  311 1386  877 1098  911   69
  651  707  480  223  529  385  283 1183  574 1029 1315  278  531  443
 1001  872  835 1039  289  356  433 1267  868  185  688  739 1213  909
  980 1250 1379 1134  729  796 1307  174 1341  860  118 1023  131 1028
 1340 1314  566   71  687  295  867  247  930 1138 1257  904 1255   39
  238  130  782  180  933  972  579   70  172   81  310  464 1238 1350
  177  486  191 1306   84 1127  564  876  604  769  445  660  608  743
  357 1106]"
1	198341.json	"[  69  356  782  220  687  261  278 1180 1198   71  863 1040  985  223
  911  972  310  909  300  362 1255  336  574  314 1021 1269  529  289
 1127  390 1001  564  348 1189  980  793   70  922  174 1296  531  918
  568  206  410  233  880  790  433  986  956 1108  966  781  851  353
  210  538 1366 1336  688 1148  835 1138   19 1106   39  486  246 1098
 1251  387  149  903 1257 1315  283  239  872  907 1110 1213  607  913
  456  187  391   87 1383 1345 1322  465  889 1158 1272  730 1359  204
  347  129]"
2	198342.json	"[ 339   87    5  555  823  330  435 1304  904  570  798  190  920 1110
  839  848  153  289  593 1278  872  501  956 1021 1226  206  269  845
  288 1168  222 1036 1232  738 1098  822 1370  313   25    2  478 1071
 1255  939  987  310  909 1108  951  789 1034 1118  457  348  549  216
  225  978  184 1346 1351 1138  421  468 1280  314  358  703  298  854
  866  328  137 1080  607  378  934  102  138 1077 1025  487  554  191
   20 1210  863  742  976 1129 1078 1322  355  942 1228 1060  945  538
  111  564]"
3	198343.json	"[ 911 1098 1315   69  876  529  687 1138  433 1198  909  289  574  223
  980  310  531 1251  872  517   87  985  410 1029  564  385  579  956
  283  174  835 1058  951 1269 1059  233  782  688  709  314  880 1127
 1108 1021  660  118  261 1189  356  877  904 1062  903 1255   67  220
 1213  336  743  247   39  239  863 1110 1039  129  604  391 1263 1257
  206  330  729  707 1311  485  461 1296  358  900  210 1030  856   41
  568  867  328  486  352 1341 1066  390 1238  456  538   84  347  692
  716 1306]"
4	198631.json	"[ 878  917 1258  248 1218 1053  284  415 1146  676 1201 1164  290  561
   12 1166  625 1186  437  325 1051  345 1207  473  603   37  349 1158
 1046  121  719 1219 1026 1000  634 1360  400 1194  730  542 1154 1169
 1126  993  454  381  584 1086 1285  859  470  841  165  999  874  809
 1159 1054 1214 1220 1352  287 1367  365  477  434  557  577 1151 1374
  541 1373 1161 1162  637  826  610  954   96 1064 1246  126  836  417
  793  539  203  266  361  236 1065  892  463  112  727  691  408  438
  525  767]"
5	198632.json	"[ 917  878 1053  248  603 1258  561   12 1146 1218 1164  584  676  719
 1207  121  284  415 1186  625  556 1158  437 1194  454  290  400 1051
 1201  287  381  325 1166  477  634 1046  345  395 1169   37  365  730
  408 1026  993  165  112 1220 1227 1161 1126  349  958 1162  691  874
 1219  203  793  841  809 1246  361  471  610 1064 1359 1159  525  542
  557 1065  126  473  999  859 1000  577  653  353 1367  807  698 1151
  836 1154 1054 1335 1285  463  767  826  541   89  266  470  476  236
  635  637]"
6	198633.json	"[ 206 1258 1273 1158 1201 1194  541 1026  494  719  909  652  389 1345
  287  809  161  557  784 1078  676 1021 1146  730   12 1195 1373 1110
  542 1232 1286 1053 1378 1064  932  477 1166  434 1377 1207  165 1359
  489  577 1114 1360  893 1210 1108  593  942   93 1136 1079 1154  325
  922 1199  841  985  703  284  539  869 1180  400 1220  329  603  866
  598  935  810  378 1172  473 1261 1159  396  331 1071  266 1000 1266
  954  616  448 1097  939  288  880 1051 1394   96  351 1107 1140  837
  468 1054]"
7	198634.json	"[ 710  651  220  588  986 1263  286  480  835  283  739   70 1307  443
   71 1267  278  877  180  385   69  796  356 1029  911 1028 1001  707
 1340  177  130  295  579  928  829  311  574  211  185  362   26 1386
  531  174 1183   84  529  769  464  223 1314  357 1023 1250 1213  972
  930  867  782   39 1315 1257 1255  312 1311  169  933  149  687  860
 1024 1039  139  129  433 1395  210  729  753 1127  172  204 1020 1104
  247  316 1379 1098  298  481  566  924   67  465  439  868 1106  872
  971 1148]"
8	198635.json	"[ 302  249  623  666  629  751 1095  393 1135 1125  364  398  425  776
  499   66 1215 1221  481  192  944  267  631  712  105  337  979  208
  407 1249   88  797 1193  153 1371  599  934  686  406  889 1387  527
  127  432 1313  665  273  281 1316  119  103   49  690   34  189  329
   31  715  152  990 1112  382  705 1015  102  275  642  215 1228  117
  313  762 1317 1049  899  988  624   95  742  591  994  825  318   21
  509  856  457   62  251 1301  801  997  202 1058  518  755  383  589
 1288  639]"
9	198636.json	"[ 422 1387  152  686   62  750  397  153 1135  801 1125  875  957  318
  934 1293  599 1313  944 1368 1015  978  712   66  466  435 1117   43
  690  988 1249  825  797  995  844  192  302 1301   65  393 1385 1332
 1283   88  405 1381  963  359 1185  432  213 1236 1225   25  762 1002
  329  145  799   86  382 1036 1268  119  372 1277 1110 1370  689 1066
  120  156 1265 1240   73 1228 1089 1354 1049  979  518 1182  398  587
 1333  661  200 1357  457  740  749  647  458  775  700  370  742 1076
 1190 1050]"
10	198637.json	"[ 206  942  329 1110 1210 1378  939  945 1195  616 1194 1078  486 1232
  288  987 1345  869  920 1071  798  378 1021 1377 1228 1035 1359 1036
  321   93 1266  803  999  421 1199  306 1097  954  722  717  754  664
 1358  953  216  837  598  341  435  810  880  331  468  348 1273 1108
  762  866  153 1158  578  834  848  692  497  645  265  913  882  885
  841  370  342  167  809  633 1165  314  909 1016 1373  593 1077  494
  547  840  570  475 1244  448  287 1163  907  175  541  892  113  730
 1114  795]"
11	198638.json	"[ 917  878  248 1218 1258 1053  284  415  561 1146 1201 1164  290 1166
  676  437   12  625 1207  603 1186   37  634  345  349  121 1051 1154
 1158  473  400  719 1219  325 1194  584 1374 1046  542 1000  730  454
 1126 1026  381  477  365  165  470 1360  809 1285 1054  993  859  610
 1169 1162  463  126  476  287  408  999  557  112  577  236  874  841
  438  793  266  652 1352  826 1086  954 1246 1161 1064 1151  857  434
 1367  541  637 1214  767  958  727 1220  515  836  888 1335  556 1065
 1195  417]"
12	198639.json	"[  69  687  782  863  220  911  985  289  261 1021  880  278  793  922
  187  356  909 1198 1189  310  716  538  529  872  149 1336 1098  593
 1266 1127  300 1255  781  348  314  972 1029 1269  283   71  390  903
  206  851  913 1180  161  907  174  223 1296  966  385  956  574 1106
  433 1315  918  210  517 1001  980  239  118  924 1359  790 1055 1138
 1273  357 1110  387  568  439  569  919 1040 1107  835  465 1149   70
 1203  564  607  129  298  336   87 1213 1108  391 1251  531  632  177
  649  928]"
13	198640.json	"[ 917  878 1258  248 1218   12  284  676 1146 1053  415 1201 1166  719
 1164  290  561  345  325  625 1051  381  473 1207 1026 1360 1186  437
  634 1194  400 1158 1046  603  542  349 1000 1154 1126  121  470 1054
  730  454   37  365  993  557  584  841 1219 1169 1374  809  434  999
  165  874  767  859 1352  236  287  126  954  610  577 1151  826  477
  489  266 1246 1056  953  525  203  652 1285  206  438  161  857 1086
  463  892 1195  417 1214 1394  541 1161  727  964  882  112 1159  998
  893  888]"
14	198641.json	"[ 206 1195 1228 1110  468 1194  869  329 1345  803  945 1078  954 1266
  175  722  593 1378  939  331  987 1359 1158 1210  837  165  147  288
  434 1273 1232  841  472  216  754 1108  810  909  960 1377 1077  809
 1036  920  907  717  998  348 1343  866  287  942  598 1134  541  396
  153 1199  384  834  840  497  435  302 1227 1207  798  378 1201  578
 1021 1107  547 1229 1182 1373  616  161  934  784  989  111  762  817
  882 1060  854  953  265  158  533 1172 1358  892  822  142 1034  341
  450  893]"
15	198642.json	"[ 480 1001  911   84 1340  707  710 1386  220  286  223  385  356  311
  687   69  588 1315 1311  796 1267  928  835   71  177  574  980 1029
  464  877  986  278  131  283  860  933  688   70  433  876 1307 1023
 1183  972  362  651  579  531  443  846  185  295 1257  529 1062  246
  867 1040 1098  739 1250 1024  930 1106  604  312  782 1138  566 1314
 1306  129   67 1263  357 1213   91 1127  829  172  174  289 1028 1238
  210    2  769  743  149  247   72   39  404  445 1361 1341  500  573
  261  513]"
16	198643.json	"[ 192  407 1125 1313  397  103  587  978 1282 1117  153 1135 1089  690
  156  957  934 1355  944  686  466 1002   66  936   95  372  995  801
 1293   83 1050  749 1208  213   73  302  422  393 1375  282  825  712
 1069  599 1049  740 1015  664 1212  591  469  960  724  176  994  799
  425   49  305  905  850  776  337  432  329  950  559  413 1370  997
  931 1332  152  943  631 1265  731 1240 1058 1387 1036  273 1003  720
  762  359  979  990  304  120 1333  797 1215 1038 1357 1110   43 1249
  334  655]"
