	verdict	indexes
0	198340.json	"[1263 1098 1311  220  574 1213  529 1029  877  710  443  980  223  286
 1250  872  588 1039  311   69  835  433  174  729 1315  385 1379  185
  564  688  531  928  986 1255  133 1386  911  651  410  356 1106  904
  180  796 1138  278   39 1001 1059  283  139  867  295  900  972  876
  210  130 1257  247  739  131  222  782 1134  310  579 1306  194  129
 1198 1267   71  868  889  933  856  500  604  930  909 1183 1062 1341
  445  687 1058 1024  461  743  566 1395  769 1269  191  956  289  941
  551 1314]"
1	198341.json	"[ 782  781 1255   69  390  863  314  607 1269  336  410  956  538  985
  564  461  174  903 1021  972   19  529 1251 1189 1213  278 1322 1138
 1106   23  328  347  465 1198 1180  843  688  918  574  889  709  568
   39  513 1239  692   71  433  933 1305  362  830  965  348  939  814
  768 1281  687  439  246  371  310  129  909  225  358  980 1395 1334
  554  484 1336  233  876  223 1231  113  114  569   41  456  104  391
  261  549  640  886 1366  853  357  744 1024  804 1315  204  149 1306
  167  790]"
2	198342.json	"[ 339  570  738  904  555 1278    5  330  956 1226  501  848  435 1304
  920  549 1370  742   87  428  554  777  252   20  457  845 1036 1255
  951 1071  421  268   25 1098  900  876  822  952  564  102  225  328
 1082  314  839 1025 1110  946  167  222  856  317  824 1021 1349  153
 1017  358 1058  137  607 1118  150  371  313  692 1332 1281  709  938
 1138 1213  478  504  273  359 1099  591  188 1251  215  288  825  529
 1303  939 1346 1060 1177 1385 1351 1334 1077   43  251 1363  479  390
  336 1330]"
3	198343.json	"[ 876 1059 1138  564 1098  410  433  529  956  517  574 1251 1213  980
  743  709 1058  233  692 1269 1315 1365  951  900  347  102  223 1198
  500  328  314  129  461  358 1062  620  604 1255  391 1205  903  215
  133  856  174  554  777 1014  579 1106  390  695  549   39 1334  904
 1306  729  202 1189  843  336  247  970 1071 1082  753  330  573 1281
   67 1250 1318  688  538 1305 1234   87  607  210 1029  465 1350  713
 1303  941  886  938  310  338  222  150  693  728  371  918  507 1204
  530 1021]"
4	198631.json	"[1186  437  121 1164  561 1126  454 1026  584  625  993  676  290 1046
 1159 1146  325   37 1161 1169 1051 1220 1246  112  349  826   96 1207
 1258  603  874 1053  691 1367  637  477 1102 1065  400 1086  719   12
  515  415 1285 1218  345 1201 1064  610  888 1162  698  214  807  502
  224  542  836  126  473  203  361  266 1393 1151  408  284  634  248
  859 1000  730 1214  635 1219  539 1352  236  165 1376 1173  476  525
  557  279 1200 1136  653  381  577 1335  545 1114 1158 1194  319  470
  958 1373]"
5	198632.json	"[1053  603 1164  454 1158  395  121 1194 1146   12  584  400 1046  676
 1186  165 1207  437  719  287  477  556 1026  203  691  381  325  698
  874 1246 1159 1126  361 1161  408  653 1065 1220  958  993  112 1051
  126  545  471  809 1335  561 1169  865  634  625  515  730   37  610
  892 1064 1056 1359  836  214 1201 1259  605 1367  841 1227  236 1162
  541  525  201  476 1153 1200  767  494  111  384  577   89  502  999
  807  859 1196  635  637 1173 1000  542  954 1393  345  438 1258  885
 1376   15]"
6	198633.json	"[  96 1064  224 1246 1220  807 1159 1114 1161 1026 1126 1200 1367  454
 1102  319  389 1173  502  698  214  477  420 1393  836  539  784  112
 1136  826  874 1065 1338  515 1376 1180 1378 1153 1186  545  121 1046
  201 1169   55  958 1086  691  993  879 1335  437 1143  126  494  795
 1356  584  266  325  561 1207  203  653 1366  888  752  635  865  603
 1164  708 1285 1097  578 1259 1232  557 1078 1214   89  637 1056  341
  448  525  541  719 1051  704  165  676  111  113 1373  610  806  236
  361 1129]"
7	198634.json	"[ 710  651  220  739  443  835 1263  286  588 1267  829  295  796   71
  283  480 1029  579  180  278 1307  385 1001  185 1250  177 1213  574
  867  769 1024   39  529  169  174  877  311   26  972  464  930  356
  129   70 1340 1311  362  223  465 1315 1257  933   84  986  439   69
  357  911  782 1395 1183 1314  130 1106 1255  133  928 1386  753  210
  886  500  971  139 1204 1104  433  298  270 1306 1023  149  531 1379
  707  924  918  347  729 1238   82  312 1205  980  941  404  573 1279
 1039 1028]"
8	198635.json	"[ 302  398  105  666  393  267 1215  979  273  623 1135  797  591  189
 1125  705  558  509  665 1221  249  990  629  518  599 1193 1371   34
  944  952  742   66  457  364  686  406 1187  997  188  215  631  856
 1212 1004 1082  153  889  712  899  407  432   45  614  251  377  692
 1036  102  776 1332 1208  755  589   43 1184  241  662  326  329  938
 1223  598  988 1305  510  458 1225  825  202 1385  775  154  481 1392
   48 1206  359  845 1058  818  160  145  871  943  615  549  601   63
  313  824]"
9	198636.json	"[ 750   43  152  686  599  775  944  875  145 1277   62   45  105 1370
  466 1036  153  518  318  988  591  797  422 1135 1385  398 1332   25
 1212  359  405 1293 1225 1387 1187 1004  938 1381  825  979   86  457
 1301  799 1015  740 1375  458  435 1185  397  267  952  302  294   66
  742  673 1223  544 1206 1110 1208 1182  946  957  712  241  393  934
   48  273 1265 1081  382  762  801 1131  601  571 1349  326  554  221
  765 1082  558  847 1076  268  189 1125  700  666 1002 1017  409  188
  432   92]"
