	verdict	indexes
0	198340.json	"[1379 1213  574 1311 1263  707  710  529 1250 1029  180  223 1267   39
  443  131  185  174  877 1306  283 1238  286  933  739  311 1098 1314
  139  729  464 1255  573  971  867  433  500 1183  245 1059  579  604
 1318  385  796  977 1001  410  980  941  868  531  688  133  779 1030
 1308  769  821  220  356  461 1204  974 1386  565 1279    4  338  876
  101 1315  608 1014  782 1257  829 1148 1281  295  709  259 1106 1039
  517  951  924 1269   67  521  492  743  350  904  278  588  890 1350
  928 1058]"
1	198341.json	"[  19  607  782 1255 1269  513  336  781  529 1231  512  461  933   23
  390 1213  843  314  114  965  371  903  804  538  709  484  549  387
  565  465 1322  688  225  927  410  246  423  328  632  347  786 1239
 1281  677  104 1063  792  362  956  174  640  496  959  574   58  357
   39 1251  554  404 1237  768  779  433  883  853 1337  621 1148 1072
  863  278  167  744  306  242  890  204  564 1073    6 1180  695  913
  175 1334  918 1137  358  500  991  352    7  606 1106  256   41 1279
  985 1045]"
2	198342.json	"[ 339  738  555 1278  570  252  956  904  428  549  742 1255  848  501
 1072  554 1036  777  457  268  478  824  328 1017 1226 1363  845  314
  167  317  322  426  371 1082   25  435 1351   97  330 1281  900  259
 1349 1370  565  746  946  500  876 1098  920  951  358  607  102   87
   59 1099  564   45  952  225 1213   19   20  779  392 1118  307  409
    5  390  402 1110 1071  446 1346 1279  591  856  883  938   48 1385
 1058 1204 1014  971 1138  530  782   43  148  336  948  273  638  326
  133  512]"
3	198343.json	"[ 876   19  529  461  513 1073  956  433 1318 1281  430  500 1059  517
  933 1269 1255  549  507 1350  512 1306   39  785 1088  574  259 1014
  709 1138  620  328  695  808  246  347 1238 1365  565 1237  974  903
  971 1058 1213  753  777  314  757  307  951  927  580  883   23 1231
  131  564  962  465  941  886  550 1270  782 1279    1  371  336  390
  410  606  428 1072  530 1062  554  607  244  693    4  796  604  419
 1204  970  338  250 1234  223  779 1137   58  260 1314  794 1308   44
  385  343]"
4	198631.json	"[ 121 1159 1220 1126 1186 1102  437  993 1026  454 1169  584  698 1376
  325 1367 1161 1200 1046 1164  126  691   96  874  515 1065  637   37
 1393  704 1285  112  865  400  888  502  290  727  349  408  361  214
  545 1151  634  236  676 1207  964 1056 1338 1053 1173 1136  319  730
  577  201  784 1051  807 1086 1335  653  556 1162  381  539  561  542
 1000  557 1146 1373 1214  224  494  859   55  795  389  489  806 1352
  165  476  420 1196  471 1246  625  603  836  345  473  287  229  477
  708  541]"
5	198632.json	"[ 395  556  361  381 1159  653  865 1053 1169  165  121 1186  691  454
  471  201  603 1102 1220  408 1164  698  719  126   12  584 1194 1046
  287 1065 1056  450  400  784 1200  545  494 1196 1173  477  874  502
 1146 1051  437  112  958  577  806  605 1161 1367 1026   14 1158  515
  795  676  325 1376   55 1153  541  203  810   15  788 1126  892  723
  993  634  214  964 1162 1136 1151  809  882  767  394  319 1214 1167
  704 1335  637 1144  141  557   89  506 1246  836  652   93  837  389
 1011   37]"
6	198633.json	"[  96 1161 1200  807 1246 1064 1220  224 1173 1126  319  214 1393 1102
  515  121 1159  477 1114 1026  698 1367  420  454 1376  112 1169  502
  784  545 1338  993 1136 1065  389  539 1153  836  603  141  266  561
  437 1356  448  584   89   55  874  752  325  126  400  236  865  201
 1086  708 1180 1285  704  964 1097 1143  470 1056 1207  229  879 1335
  806  791  862 1378   36  525  653 1186  203  691  634 1046  727  958
  111 1078  269  795 1164 1132 1373  888 1144  489  637   37  837  494
   93 1011]"
7	198634.json	"[ 651  710  443 1267  829  739  180  295  835 1263 1029  220  796  480
  588  286 1250 1311 1307  464  185  867  385 1024  177  579  574 1001
  356 1213   71  169  278 1340  972   26  283  312  769  930  223   39
  139  129  210 1315  500  130  924 1379  529 1314  174  707  933 1183
  465  743  877 1104  311  573 1386  357  977 1257  980   82  439  433
 1083  971  414 1204  362  101   84  404  133 1103  245  373 1230  911
  172  729 1059  347  483 1395 1306  445  753  941  886  521 1238  868
  298    1]"
8	198635.json	"[ 398  665  666  105  705  755  393   63 1215  406  302  267  558  742
  899  509  979  943  797  407  457  870  751  518  614 1277  609  102
   48 1187  273 1388 1082 1193  623  428 1184  599   45  629 1081  990
   97 1004  615  499  188 1015  260 1392 1223  328  249 1243  624  135
  589  549 1137  994   62  871  833  735  154  202  591  466 1371  631
  952  530  364  673  818 1072 1331 1050  510  845 1125  241  983   18
 1014  702  458  850 1221  715 1357 1332 1147  832 1095  318  313  956
  988  234]"
9	198636.json	"[ 750  318 1381 1277 1225  686 1368  466 1015  875   43  689   45  152
 1004  422  599 1036  765  405 1328 1236  996  674 1185  397  120  673
  978 1081  105  988  241  797   85   92   48 1174  526   22  946  230
 1135 1072  601  518  402 1110  409  326 1332 1268  544 1050   86 1191
 1223 1177  302  848  983  234 1387  294  359   62 1392 1370   44  740
 1331  524  799  457 1265  424  850  175 1375 1043   25 1178 1385  870
  789  702 1007  452  665  762  934 1187  847  644  571 1388 1090   73
 1017  221]"
