	verdict	indexes
0	198340.json	"[1263 1379  185  286  710 1250 1311  443  180 1213 1029  867  574  877
  529  588  796  739 1267  295  385  651  311  829 1098  139  500   39
 1024  131  220 1314  971 1386  247  566 1306  933  868 1238  133  928
  174  223  433 1062 1183  130 1257  729  573  876 1315  977 1106  283
  531  245  930  900  604  129 1001  445  753  464 1308  835 1255 1039
 1350  860  972  338  579  904 1205  743  373 1279 1014   26  101 1148
 1083 1281  461 1318 1138 1204  970  164   71  465  980  769 1059    4
  169 1058]"
1	198341.json	"[ 465 1024  347  933 1255  461  796  972  782  439  246  956   19   39
  500 1213  513  903  336  529  390 1269 1106 1231  886 1306  174  574
 1281  753   23  362  129 1237 1318  867  843  530  971 1138  328  739
  404   71 1234  104  357 1204  620  876  433  565  709 1279  607  204
  314  853 1238 1251 1205  114  278  430 1014  781  244  941  564  410
  512  385  785 1104   41  757  693  250  133  538 1148 1103  808 1088
 1073  298  569  554 1395 1239  549 1062  428  517    1 1001  259  580
  256  927]"
2	198342.json	"[ 555  339  252 1226  738 1278  904  428  956  742  777  570  900  549
  268  876 1099  554  500    2  102  845 1281   20  259 1255  338  457
 1082  848  501    5  805 1014  530 1234  202 1363 1332  856 1213  951
 1370  753 1349   25  824  962  920  260 1330 1118  328  188  426 1204
  392  709  330 1058 1279   44  624  317 1346  478  326  779  150  529
 1017  833 1025  977 1142  970    4  137 1062  133 1205  620  591  322
    1  359  979 1138  886  867 1318 1187   45  564  565  373  665  937
  952 1230]"
3	198343.json	"[ 876  500  620 1062 1365 1234 1088  743 1138  430  867 1306  517  956
 1014 1318  433  244  574 1270  347  962  529  604 1059  753 1205 1213
  573  785  129  202  693  338  102 1350  757   39  886  900   44 1024
 1238  971 1250  461  709  521  530 1281  507  796  970  465 1058  259
    1  247  777  260  933  392  868  564  805 1308   67  328 1106  695
  133 1392  439 1204  580  977 1073  903 1315 1379  713 1269  941 1237
 1251  385  856  808  252 1314  579  549 1226 1255  554  428  101  174
  829    4]"
4	198631.json	"[1367 1126 1159   96 1220  454 1393 1086 1026 1214 1376  993  637  224
  836  515 1200 1046 1161  539  874 1285 1065 1186 1352 1169 1164  545
 1136  214 1064  698 1373  676  325 1338 1378  578  502 1246 1114 1000
  807  494  165 1259  437 1207  541 1146  203 1335 1143  489 1102  691
  121  859  542  809 1173  488 1180  236  892 1158  906  865  717  389
  727  473 1151  201  319  795   37 1051  420  730 1201  400  112 1162
  361 1153 1366  434  126  384  610 1129 1286  958  146  714 1056  226
 1053  784]"
5	198632.json	"[ 395 1158  165  287  892 1359  809 1194  545  865  907  840  384  111
 1259  866   15  810  147 1335  698  394  954  958 1200  494  646  203
 1195  837  788  885 1227  717  541 1140  438  953  696  882 1065  680
 1356  454 1159  999 1214  605  418 1286  836 1048 1342  146 1056 1119
 1232  468 1167  201 1092  506 1153  854   93  874 1220 1393  361  400
 1053 1046  486  291   47  592 1367  653  515  964 1377  183 1199 1320
  333  475   55  942 1261 1078  578  142  795 1180  450  126 1064   12
 1134 1096]"
6	198633.json	"[1200 1114 1378 1356  389 1180  224 1393  879   96 1366 1367  113 1064
   55 1097 1338  862  539  420 1136  488  319 1220  475  341  545 1232
  708 1159 1376 1011 1143 1132  146  942 1173  807 1167  836  791  494
 1377  795  804  578 1261  784  698  214  502 1092 1160 1335 1035 1214
  958  865  788  696  752 1145 1161  111  201  737  158  586 1153 1259
 1149 1165 1077  959 1322 1086 1078  448 1373   93 1126  734 1286 1091
  346  714 1021  858  515 1246  226 1065  541  563  906  717  489  781
 1026  594]"
7	198634.json	"[ 710  651  739  829 1267  286  443  796  169  295  180 1263  480  835
  588  867  185  220 1024 1250  385 1029   71  579   26 1340  464 1001
  283 1307  177   39  574  312  769  930 1213 1379 1314  129 1257  933
  311  877 1311  972  278   84  465  439  500  971  529  886 1306 1183
  101 1238  362  753  373  174   82  860  139  130  244  356  223  573
 1204 1386  245  743 1106 1083  808 1315 1205  483  133 1230  357  846
  977  347  868 1088  270  566  211  433 1234  928 1308 1104  172  707
 1231    2]"
8	198635.json	"[ 666  398  509  979  665   63  267  105  623 1193  558  705  591 1371
  899  742 1392  609  797  393 1187  589  160   45  458  135  202 1215
   18  102 1277  870   48  406  260  188  943  988  629  530  735 1184
  518  662 1082 1221  326  725  614  856 1014  241  833  457 1332  273
 1081  624  693  615 1083  428  770  994 1301  952  644  669  724 1155
 1015 1197   97  673 1357 1130 1241  755  751  897 1223   44  824  845
  481  251  642  392 1058  619  549 1331  234  500  956  343 1185  249
  354   62]"
9	198636.json	"[1277 1381   45 1185  458  988  875 1081  750   62  591 1236   48 1187
 1301 1384 1332  509 1015  405  979  518  241  700 1392  742  466  797
   25  152  673  326  398  558  870   18  644 1357  725 1174 1006  741
  847  234  338  105   17  983 1223  571  359  457 1197  665  943  801
  910 1242  686   44  740  724  402  318  775  267  832  666  268  188
 1355  544   43 1184  424 1370 1349  628  145  554  589  614  675 1371
 1363  615 1082  447  540  160  849  899  938  599  658 1076  833  294
 1331 1191]"
10	198637.json	"[ 167  783  371  641  734  306  144  945  607 1093  942  920  786  811
  696  663 1113  991  484  423 1155  429  146   30  939 1094  299  113
  925  733  342  822 1011  114  254  157  512  253  633  621 1099  317
  516 1119 1362   97  148 1017  777 1298 1128  168  549 1179 1349  677
   24  881  256  510  451 1165   23    6  421  242  328  792  322 1101
  401  884  341  496 1036  581  475  232  154 1252  746  155  570  830
  259   58  818 1334   92  632  831  890  768 1131  680  250  554  779
 1097  115]"
11	198638.json	"[1126 1164 1367 1220 1285 1393 1053 1000  698 1046  515 1207 1186 1026
  454  545 1064 1159 1154 1161 1146 1136  836  874  437 1086   37  400
 1214  236  539  993  325  542  676 1158  502  494  473 1201 1169 1065
  477   96 1338  224  809  859  637  489 1335  121  958  578  610  165
  126  652 1051 1200  214 1376 1352 1246 1373 1219  541  730  727 1143
  319  476 1199 1151  634  954  112  345  341 1194  584  361  577 1286
  291  906   15 1378  203  691  865  892 1173 1180  349  625 1054 1258
 1162 1114]"
12	198639.json	"[1106  538 1213 1024  956  903  782  465  174  129  390  781  133  972
 1255 1306  529  607  574 1269  439   69  328  876  225  513  461  410
  433  564 1251 1138  500  347 1231  517  709 1205  933 1281  371 1029
   39  114  863  980 1279  985  496  867  843 1315  246  385  314  918
   19  632 1204  565  853  768  753 1098  223  569 1001  924  796 1349
    1 1021  941   23  298 1334  554  177 1198  970 1395   41  210  889
 1238  138  830 1101  904  167 1318  512 1250  777 1305 1014 1296  822
  259  971]"
13	198640.json	"[1056  953  489 1026  494  676  964 1352  542  400 1158 1046 1146  165
  236 1126 1169 1000  719   12   93 1065 1286  325   96 1159  841   15
 1373  874  882 1194  954  809 1394 1214  287  497  473  893 1207  434
  704  634 1393  906  892 1195  506  730 1054  541  865  448  226  694
 1261  885  837  454  714 1163  859 1051  183  206 1154 1377 1201  727
  810  126  438  578  999 1273 1086  515  784  767 1259 1335  717  993
  598 1161  470  488  652 1151 1378  345  610  224 1167  646 1164  616
 1342  203]"
14	198641.json	"[1349  317  268  167  945  822 1206 1119 1036  409   76  175  920  505
  225  554 1131  570  549 1094  501  952 1370 1187  777  607  601  738
 1080  424   47  428  232  946 1298  188  371 1392  144   43  663  818
 1223  779  322  855  939  765  326  938  216  591  421   97  925  848
 1017  457  512 1099 1077  253   45 1101  148  956  510  263  288  478
  342  461  402  440 1155   11   79  890  675  259  692  496   30  277
 1299 1330  309 1060  627  157  799  514  504  754  369  775  343  484
  524   29]"
15	198642.json	"[1001   84  796  710 1340  480 1267  385  911  223  286  574 1386  933
 1311 1024 1029  464  177  356  867 1250  311  295  846  829  185  876
   71  835  129  877 1315  433  131  972  980  443 1062  707  246 1306
 1106  579 1314  500 1257 1213  588  529  739  362  169  604  930  860
   67  278  566  244 1238  928  312  651  347 1183   39 1138 1098  465
  439  743  461  220  445 1023  283  970  573  513  769  886  900 1231
  971  687  247 1088  245 1307  688  404  753 1279  338  174  531 1104
  210 1263]"
16	198643.json	"[ 724 1355  407 1197  591 1185  458 1282 1125  740 1277 1332  979 1174
  469  801 1081  644 1381 1015  558  156  540  466 1357  994  544  943
  160 1371  305  686 1301   18 1038  136 1212  832  797  518  359  491
  775  741 1117 1242 1187  825   48  742 1031 1208  571   45  589  509
  145 1050 1313  188 1392   62  700  559  988   17 1370  938  690 1384
 1014 1331  749 1036  669  503  705  241  611  366  849  673 1058  666
  639 1265  957 1139  599  658  726   66  678  296  624 1247  850  192
  875 1283]"
17	198644.json	"[ 138   87  184 1278  570  330  881  355  239  348  376 1133  216  478
  123 1280  798  839  738  956  484  925  387  167  144    7  939  288
  607 1036  937  823  300  328  805 1098  952   45  133  240 1303  231
   43  228 1206 1239  313  987 1349  371 1305  775  648  781  851  633
  222  391  427  889  848  358 1370 1035  946  339  695  153 1108  970
  162 1269  268 1320  549  538  294 1093 1213 1223  866  554  713  830
   86  904   69 1256  496  418  601  762   76  564  872  907  645  692
  534  938]"
18	198645.json	"[ 733   45  264 1093  770  458  299  467 1099  702   48  510  447 1017
  897  673   79  812  644  232  424 1326  738 1155  855 1177   97  641
   76  157  572  402 1309  983 1331  946  662   18 1206  144  516  899
 1392  154 1278  570  188  991 1047  979  832  253  550  514  705  818
   20  252 1191  666 1121  411 1302 1349  663  591  123  262  988 1197
  543  256 1330   85 1294  849 1131  218  952 1277  167 1007 1178 1253
 1042   40  658  241  322  398  268  530  938  779 1082  875 1174 1381
   43 1109]"
19	198646.json	"[ 940  597 1316 1015  234 1193  725 1221  988  923 1301  481  715  509
  364  947  589  130  943  160 1185  672 1332  458  902  686  251 1371
 1277  742  856  658  665  202  628  449  979  666  673 1083 1226  222
  595  994  267  373  623  599  900  797  800   18   48  662 1392   20
 1130  469 1357 1197 1236  624  558  833 1355  188  642  973  693 1014
  611  137  406  152  241  447 1216   88  705  518 1082  393  571   62
 1190  213 1247  631  260  700  462  445  326  102 1312 1223  591  145
  338  268]"
20	198647.json	"[ 426  956 1099  428  148 1014  392  777 1187  620  938  338  259 1234
  962  665   45  713 1082  549  709   44 1318  509  897 1392  550  741
 1072  979 1081  252  326  168  424  313  101  102  785 1281  202  554
  735  591  848  870 1278  500  317   48 1191 1223  328  430 1017  507
  779  952  530  833 1088 1179  256  461  693  243  770  402  458  299
   97 1277  260  876  467 1349  757  268  580    1  241  808  478  371
  644  738  883 1050   18  900 1270  824 1279 1058  512  974  447  991
 1269  565]"
21	198648.json	"[ 341  113 1128  862  744  607 1378 1063  225 1356 1180  942  146  563
 1078 1120  423  306  538  371  781  879  488  791 1097  342 1322  804
  484 1021  632 1077  578  880 1149 1011 1296  768  786 1160  228 1338
  683  737 1119 1393  863 1035 1366  399 1203  475  987 1266  581 1233
 1132 1101  913 1336  985 1200  734  830  539 1143   47  792 1105  748
  858  586  390  814  834 1334 1232  621  456  346  254  523  696  585
 1136  959  925  147  114  226 1199 1252  939  167  828  144 1345  965
  410  319]"
22	198649.json	"[1046 1159 1164  437  325  381  874 1186 1026  653  691 1146 1051 1169
  471 1065  165  556  121 1246  400  603  126  361  676  993  635  203
  201 1126  408  634  698  865 1151 1220 1102  454  577 1161  704  584
  112   37  214 1214 1196  470  279  542 1194  266  525 1053  236  224
  477  888  605 1259  788  610  494  637 1056  625 1153  892  795  545
  719  345  515  859  476  809 1261  806  652 1376 1207  767  836 1158
 1367 1064  885 1086  473 1173 1352   12  287  958   93  841  896 1162
  727  557]"
23	198650.json	"[ 979  509  591 1392  458  188  797 1332   48  742  558  705  644 1155
  666  988  398 1082 1197 1349  938  160  850   20 1223  724 1187 1099
  952  406 1206 1247  518  741  589  428  218  665 1184  725  469 1277
  946  770  673 1185   76  693 1014 1081  510 1226  983  268  833 1058
 1241   45  524  377  145  997  700  326  675  424 1301   97  818 1371
  775  832  777  102  554  611  462  631  692 1305  407  267  514  305
  253  897 1125  738  899  549  530  343   18   62  669  599  189 1331
  740 1004]"
24	198651.json	"[ 781  607  371 1128  858  390  538 1378  804  225 1322  484  113  569
  863 1160  167  114 1072  563  586   19  328 1336 1255   23  306 1012
  956  632  423  358 1021  554 1334   58  346  144 1097  549  314  792
  777  939  242  677  496 1281 1305  786  228  959  830  782 1366  640
  768 1180  231 1269  564  843  488  100  965  399  341 1138  621  342
  880  581  862 1035 1337  889 1063  913  461 1101  802  822  794  391
 1274  456  513  530  288  814 1266 1302  748  115  336  853  903  429
  966  883]"
25	198652.json	"[ 663  501 1094  309  789 1119  147   47  641 1310  819 1131  734 1036
   33 1165  451  696  840   24  175  394  822 1113  783  810  969  146
  680  560  468 1370  505  113 1101 1010  369  510  263  232 1343 1048
 1167 1182  563 1349  167  834   30  196   11  733   59  409  537  226
  601 1377  607  534  945 1080  748  908  775  907 1047  737 1093  600
  288  862  504 1110 1156 1252 1324 1011 1351 1177  225 1077  626  861
  440 1181  792 1362 1155  670  920  779  254  423  144  148   79   76
  418  256]"
26	198653.json	"[ 714  226  488 1373  598  906  146  827   76  113 1077  594  489 1163
   15 1358 1378 1167 1119 1182 1377  954  341  626 1344  616  641  942
  953  893 1131 1352  578 1284  438  147  969  692  945  158 1165 1393
  547  908 1224  510 1016  541  167 1299 1071  646 1156  866  421  734
  717  394 1286  989  694 1338  494 1011  663 1145  733 1324 1018  253
  590 1195 1199 1000   32 1047  377  737 1342 1111  892  809 1054  602
 1155 1310 1206 1394  479  277  144   47  818  537 1261  727  388 1110
  434  501]"
27	198654.json	"[ 100 1239  617  843    7 1237  484  242  886  695  513  764  606 1045
  914  151  802  219  182  347  530  569  640  244  607  390  104  114
   19  235  231  439  250  581 1281  465  621 1037  808 1369  429  197
   23  956  285  115  792  461  328  276   58  919  757 1302  781  368
   80 1104 1322 1361  794  677  496  143  853  580 1072  404 1073  851
  516  412 1231  307  228  144  785   77  376  833  948  371  565  620
  256  257 1138 1305 1189  965 1274 1330  258  913  903  132 1323  391
  805  298]"
28	198655.json	"[ 630  412  101  741  521 1019  709  245  256  910   67  250  461 1234
 1014 1031  956   44  483 1305  785 1072  540  732 1230   16  615  808
  620  500   39  465 1302 1058  517 1187  260  107 1137 1318  903  693
 1349  285 1238  347  439  259  833  174  596  832 1081 1281  426  792
   18  948   80  169  554  867  941  235  565  628  518  614 1277  753
  363 1024  462  328 1205  886  740 1290   41  416  983  108 1242  168
  129  430 1231  428  580  843  669  338  967  296  757  805  530  794
  202  876]"
